HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40065088733E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065088740E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065088757E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065063099E,CND7,25,RPM2530292/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065088917E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065004498E,CND7,9,KRE1012595/2,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40065055988E,CND7,3,RPM2531610/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065003286E,CND7,1,NGC90145,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064589811E,CND7,4,NGC90145,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064969439E,CND7,3,RDH10281/2,RTK193170/1,0.188,0.096,0.148,0.003
LELMECB40065069459E,CND7,1,KRC1612271/11R1D,EAB-ZPACK,0.555,0.365,0.228,0.046
LELMECB40064595102E,CND7,4,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064968678E,CND7,12,RNT44737/01,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064590138E,CND7,15,NCD90178/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064590138E,CND7,15,RPM777755/01500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969675E,CND7,3,RPM2531692/30M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065003002E,CND7,2,RDH10275/2,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064606020E,CND7,50,RPM777382/05000,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065060876E,CND7,31,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065055957E,CND7,2,RPM2531610/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969620E,CND7,3,RDH10281/2,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064969491E,CND7,3,RDH10281/2,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064968685E,CND7,3,RNT44737/01,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065002524E,CND7,4,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064589231E,CND7,5,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969668E,CND7,1,RPM2531692/30M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969668E,CND7,2,RPM2531692/30M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065056008E,CND7,3,RPM2531610/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065055995E,CND7,6,RPM2531610/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969446E,CND7,3,RDH10281/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064725738E,CND7,51,RDH10247/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064968227E,CND7,16,KRC161827/2,EAB-ZPACK,1.2,0.8,1.055,1.013
LELMECB40064968234E,CND7,8,KRC161827/2,EAB-ZPACK,1.2,0.8,0.59,0.566
LELMECB40065063082E,CND7,19,RPM2531610/10M,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40064968012E,CND7,1,KRD901234/11R1D,EAB-ZPACK,0.72,0.48,0.23,0.079
LELMECB40064969453E,CND7,3,RDH10281/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064595690E,CND7,32,RDH10265/25,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40065003231E,CND7,1,RPM777523/15000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064997524E,CND7,32,RDH10265/25,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40065089006E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065083684E,CND7,12,KDU1370096/11,EAB-ZPACK,1.2,0.8,0.86,0.826
LELMECB40065087682E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065087705E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40064997975E,CND7,12,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065088337E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065088771E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40065004467E,CND7,4,KRE1012595/2,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065009882E,CND7,5,RDH10265/3,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065009882E,CND7,5,RDH10265/25,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065009882E,CND7,5,RNT44737/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065009882E,CND7,5,SEF901377/4,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065009882E,CND7,5,SEF901376/0535,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065025264E,CND7,10,KRY901474/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40065025264E,CND7,10,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40065025264E,CND7,6,RDH10265/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40065025264E,CND7,10,RPM777045/03000,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40065025264E,CND7,7,RPM1192060/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40065025295E,CND7,4,RDH10265/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065012912E,CND7,12,RDH10265/3,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40065012912E,CND7,12,RDH10265/25,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40065012912E,CND7,12,RNT44737/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40065012912E,CND7,12,SEF901377/4,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40065012912E,CND7,12,SEF901376/0535,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40064969507E,CND7,2,RDH10270/2,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064536341E,CND7,4,RDH10248/2,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064536341E,CND7,4,KRY901345/8,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064536341E,CND7,4,RDH10248/1,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064536341E,CND7,4,RPM2533512/10M,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064536341E,CND7,4,SXK1252796/1,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017788E,CND7,7,RDH10265/3,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065017788E,CND7,7,RDH10265/25,EAB-ZPACK,0.6,0.8,0.46,0.221
