HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40062272777E,CND7,3,SEF901377/5,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062241353E,CND7,1,KRC161771/2,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40062296728E,CND7,3,RDH10248/2,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062296728E,CND7,3,RNT44737/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062296728E,CND7,3,RPM2531619/10M,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062296728E,CND7,3,SEF901376/0535,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062296728E,CND7,3,SEF901377/4,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062296728E,CND7,3,RDH10248/1,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062133887E,CND7,160,RNV44404/02,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062289898E,CND7,8,RNT44737/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062289898E,CND7,8,SEF901376/0535,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062289898E,CND7,8,SEF901377/5,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062170721E,CND7,150,RPM1192062/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062291037E,CND7,1,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291037E,CND7,1,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291037E,CND7,1,SEF901377/5,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291020E,CND7,2,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062291044E,CND7,1,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291044E,CND7,1,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291044E,CND7,1,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291044E,CND7,1,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291044E,CND7,1,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062113377E,CND7,300,RPM777291/02000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062144388E,CND7,15,RPM777567/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062144388E,CND7,180,RPM777567/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062275532E,CND7,16,KRC161771/2,EAB-PACK,1.2,0.8,1.065,1.022
LELMECB40062275549E,CND7,1,KRC161771/2,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40062275556E,CND7,1,KRC161771/2,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40062274658E,CND7,133,SEF901377/5,RTK21716/751,0.6,0.8,0.76,0.365
LELMECB40062109844E,CND7,39,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062109844E,CND7,61,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062109851E,CND7,100,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062291068E,CND7,5,RPM5132371/00300,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062394639E,CND7,10,KDU137949/1,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062291013E,CND7,3,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291013E,CND7,3,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291013E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291013E,CND7,3,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062291013E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062274146E,CND7,10,SEF901377/5,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062273866E,CND7,11,SEF901377/5,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062274931E,CND7,56,RPM2530292/10M,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062289904E,CND7,3,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062289904E,CND7,3,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062289904E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062289904E,CND7,3,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062289904E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062289881E,CND7,5,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062346423E,CND7,1,KRC161818/2,EAB-PACK,0.635,0.4,0.245,0.062
LELMECB40062142827E,CND7,130,RPM777755/01500,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062274047E,CND7,1,KRC161652/2,EAB-PACK,0.56,0.398,0.26,0.058
LELMECB40062293673E,CND7,10,SXK1255991/2,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062293673E,CND7,10,SEF901377/5,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062293673E,CND7,10,RNT44737/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062293673E,CND7,10,SEF901376/0214,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062272531E,CND7,1,KRC161652/2,EAB-PACK,0.56,0.398,0.26,0.058
LELMECB40062380847E,CND7,1,SDD5131517/3,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062380847E,CND7,1,SDD5131517/3,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062380847E,CND7,8,SDD5131517/3,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062380854E,CND7,10,SDD5131517/3,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062298227E,CND7,10,RDH10275/3,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062298227E,CND7,10,NGC90145,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062298227E,CND7,3,NCD90165/1,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062299026E,CND7,1,NTB1010742/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062299026E,CND7,2,RDH10265/3,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062299026E,CND7,1,RPM777567/02500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062205928E,CND7,4,RPM2533513/20M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062399160E,CND7,18,RPM2533513/5000,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062399160E,CND7,27,RPM2533513/10M,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062399160E,CND7,6,RDH10247/2,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062399160E,CND7,6,RDH10265/1,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062544201E,CND7,8,RPM5132371/00300,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062425821E,CND7,1,RPM777523/15000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062425814E,CND7,1,RPM777523/15000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062547806E,CND7,6,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062548544E,CND7,8,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062544157E,CND7,1,RPM777382/05000,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062424916E,CND7,20,KRC161550/2,EAB-PACK,1.2,0.8,1.155,1.109
LELMECB40062424978E,CND7,20,KRC161550/2,EAB-PACK,1.2,0.8,1.155,1.109
LELMECB40062425753E,CND7,12,KRC161550/2,EAB-PACK,1.2,0.8,0.75,0.72
LELMECB40062425838E,CND7,2,RPM777523/15000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062425852E,CND7,15,RPM777523/15000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062544263E,CND7,3,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062545864E,CND7,17,RDH10265/25,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062425579E,CND7,8,RPM777523/15000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062437077E,CND7,2,RPM777523/15000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062544270E,CND7,6,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062548315E,CND7,1,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062510213E,CND7,13,RPM2531610/10M,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062545871E,CND7,18,RPM777382/05000,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062544256E,CND7,1,RPM5132371/00300,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062510060E,CND7,195,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062548353E,CND7,3,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062548780E,CND7,10,RPM777528/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062548773E,CND7,15,RPM5132371/00300,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062645632,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644826,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644833,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644864,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644871,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644895,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644918,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062566562E,CND7,38,KRY901345/8,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062646493,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646714,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646738,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646806,CND7,87,RPM777528/10000,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062645977,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646110,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646158,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646219,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646257,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062646288,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062645656,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062645687,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062645830,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062645854,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062645892,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644413,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644420,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644451,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644475,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644499,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062644505,CND7,160,RPM777528/10000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062563929E,CND7,1,KRC161954/11,EAB-PACK,0.65,0.5,0.26,0.085
LELMECB40062567255E,CND7,8,SXK1252796/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062567255E,CND7,30,SXK1252796/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062578657E,CND7,76,SEF901377/4,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062578657E,CND7,38,SXK1255991/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062578657E,CND7,38,SEF901376/0321,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062642129E,CND7,38,KRC161509/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062564711E,CND7,1,KRD901242/11R1C,EAB-PACK,0.96,0.56,0.26,0.14
LELMECB40062568559E,CND7,1,KRY1011946/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062567613E,CND7,9,KRY1011946/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062642778E,CND7,4,KRY1011946/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062554590E,CND7,60,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062616366E,CND7,194,SEF901376/0214,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062555702E,CND7,100,SEF901377/4,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062575014E,CND7,53,RPM80092/02000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575014E,CND7,100,RPM80092/02000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575014E,CND7,111,RPM80092/02000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575014E,CND7,100,RPM80092/02000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575793E,CND7,49,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062575793E,CND7,11,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062543662E,CND7,46,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062543662E,CND7,18,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062577919E,CND7,182,RPM1192062/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062577964E,CND7,182,RPM1192062/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062575939E,CND7,53,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062543686E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062543693E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062556228E,CND7,60,SEF901377/4,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062571979E,CND7,10,NCD90165/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062426217E,CND7,36,RPM777523/15000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062571382E,CND7,122,SXK1255991/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062570804E,CND7,7,RPM1136127/15M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062571962E,CND7,112,SXK1255991/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062571962E,CND7,9,SXK1255991/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062572341E,CND7,121,SXK1255991/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062544287E,CND7,20,TSR3912079/0200,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062571986E,CND7,7,NCD90165/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40062579548E,CND7,60,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062579548E,CND7,440,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549237E,CND7,13,RPM2531610/20M,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062549268E,CND7,7,SXK1091931/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062547370E,CND7,7,KRE1012395/2,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062575243E,CND7,36,RPM80089/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575243E,CND7,304,RPM80089/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575915E,CND7,78,RPM1192062/5,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575915E,CND7,167,RPM1192062/5,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575991E,CND7,24,RPM80089/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575991E,CND7,119,RPM1192062/5,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062370374E,CND7,1,KRC1612271/11R1C,EAB-PACK,0.555,0.365,0.23,0.047
LELMECB40062560256E,CND7,131,RNT44736/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062560256E,CND7,128,RNT44736/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062560287E,CND7,49,RNT44736/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062560287E,CND7,60,RNT44736/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40062544393E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062558536E,CND7,10,SXK1091931/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062548216E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548223E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062425883E,CND7,35,RPM777523/15000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062549251E,CND7,20,TSR3912079/0500,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062544140E,CND7,7,NGC90145,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062623494E,CND7,1,KRC1612273/11R1B,EAB-PACK,0.555,0.365,0.228,0.046
LELMECB40062623500E,CND7,1,KRC1612273/11R1B,EAB-PACK,0.555,0.365,0.228,0.046
LELMECB40062575984E,CND7,42,RPM2533512/30M,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575984E,CND7,44,SEF901376/0535,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575984E,CND7,44,SEF901377/4,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575984E,CND7,44,SXK1255991/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062579562E,CND7,500,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062563011E,CND7,16,SEF901376/0535,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062563011E,CND7,16,SEF901377/5,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062563011E,CND7,16,SXK1255991/2,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062563011E,CND7,16,RNT44736/01,RTK21716/601,0.6,0.8,0.61,0.293
LELMECB40062572358E,CND7,10,SEF901377/4,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062563622,CND7,2,KRY901479/1,RTK193170/4,0.396,0.298,0.328,0.039
LELMECB40062563639,CND7,2,KRD901181/11R2C,EAB-PACK,0.99,0.76,0.85,0.64
LELMECB40062565367,CND7,30,KDU137925/41,EAB-PACK,1.2,0.8,0.75,0.72
LELMECB40062571405E,CND7,60,SEF901376/0214,RTK21716/751,0.6,0.8,0.76,0.365
LELMECB40062562311E,CND7,200,TSR3912079/0500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062597634E,CND7,44,KRY901345/7,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062547783E,CND7,16,RPM2531610/20M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062587482E,CND7,100,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062588021E,CND7,54,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062588021E,CND7,46,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062588083E,CND7,4,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062588083E,CND7,96,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062588090E,CND7,58,SXK1255991/2,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062588090E,CND7,6,SXK1255991/2,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062588694E,CND7,150,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062589288E,CND7,30,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062589288E,CND7,120,SEF901376/0214,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062589868E,CND7,18,SEF901376/0214,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062589868E,CND7,46,SEF901376/0214,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062590512E,CND7,145,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062590512E,CND7,72,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062590581E,CND7,147,SEF901377/4,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40062550578E,CND7,140,RPM1192062/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062550578E,CND7,140,RNT44736/01,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062551315E,CND7,35,SXK1092016/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062551582E,CND7,35,SXK1092016/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062570767E,CND7,10,RPM1136127/15M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40062557423E,CND7,76,TSR3912079/0200,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062557423E,CND7,44,TSR3912079/0200,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062548247E,CND7,52,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548247E,CND7,12,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549091E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549435E,CND7,48,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548797E,CND7,10,NGC90145,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40062568603E,CND7,184,SEF901377/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062569327E,CND7,184,SEF901377/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062571351E,CND7,32,SXK1254142/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062571351E,CND7,4,SXK1254142/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062571351E,CND7,8,SXK1254142/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062574185E,CND7,12,BML901492/1,RTK21717/591,1.2,0.8,0.75,0.72
LELMECB40062574642E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062574659E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062574673E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062574703E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575021E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575038E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062575052E,CND7,12,BML901492/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062549312E,CND7,50,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549312E,CND7,50,RNT44736/01,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062552398E,CND7,35,SXK1092016/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062552671E,CND7,35,SXK1092016/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062554682E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062555849E,CND7,34,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062555849E,CND7,98,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062555849E,CND7,98,RNT44736/01,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549749E,CND7,50,SEF901377/5,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062549749E,CND7,50,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062555870E,CND7,98,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062578640E,CND7,91,SXK1255991/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062578640E,CND7,22,SXK1255991/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40062543709E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544355E,CND7,6,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544355E,CND7,49,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544379E,CND7,100,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544386E,CND7,100,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544409E,CND7,7,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062544409E,CND7,93,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062578688E,CND7,93,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062578688E,CND7,20,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062578688E,CND7,113,RNT44736/01,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548230E,CND7,100,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548230E,CND7,11,SXK1255991/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548230E,CND7,311,RNT44736/01,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062548254E,CND7,211,SEF901377/4,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062641450E,CND7,12,BML901492/1,EAB-PACK,1.2,0.8,0.75,0.72
LELMECB40062555528E,CND7,14,NCD90178/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062555528E,CND7,14,RPM777096/00115,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062555528E,CND7,14,RPM777755/01500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40062562267E,CND7,150,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062562267E,CND7,76,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062562267E,CND7,230,RNT14122/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062616823E,CND7,44,KRE105281/1,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062585877E,CND7,182,SEF901377/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062586676E,CND7,60,SEF901377/2,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40062586676E,CND7,122,SEF901377/2,RTK21717/591,1.2,0.8,0.6,0.576
